Status,Route,Methods,Prisma Models,Services,Frontend Callers,Caller Files
USED,"/api/contacts/custom-types","POST|DELETE","entity","",3,"components/contacts/bulk-action-toolbar.tsx:97; components/contacts/types-manager.tsx:73; components/contacts/types-manager.tsx:109"
USED,"/api/contacts/type-counts","GET","entity","",3,"app/dashboard/jobs/[id]/page.tsx:523; app/dashboard/jobs/page.tsx:228; components/contacts/types-manager.tsx:42"
USED,"/api/email-accounts","GET","","email-connection",1,"components/jobs/send-request-modal.tsx:217"
USED,"/api/email-accounts/[id]","DELETE","","email-connection",1,"app/dashboard/settings/team/page.tsx:204"
USED,"/api/entities","GET|POST","","entity|domain-detection",5,"app/dashboard/contacts/page.tsx:59; app/dashboard/jobs/[id]/page.tsx:475; app/dashboard/jobs/[id]/page.tsx:492; app/dashboard/jobs/[id]/page.tsx:589; app/dashboard/jobs/page.tsx:301"
USED,"/api/entities/[id]","GET|PATCH|DELETE","","entity|domain-detection",1,"components/contacts/contact-list.tsx:72"
USED,"/api/entities/bulk","POST","","csv-import",1,"components/contacts/csv-upload.tsx:64"
USED,"/api/entities/bulk-update","POST","entity|group|entityGroup","",1,"components/contacts/bulk-action-toolbar.tsx:134"
USED,"/api/entities/import","POST","","unified-import",1,"components/contacts/import-modal.tsx:124"
USED,"/api/groups","GET|POST","","group",8,"app/dashboard/contacts/page.tsx:74; app/dashboard/jobs/[id]/page.tsx:542; app/dashboard/jobs/page.tsx:268; components/contacts/bulk-action-toolbar.tsx:70; components/contacts/contact-form.tsx:52; components/contacts/csv-upload.tsx:29; components/contacts/groups-input.tsx:68; components/contacts/groups-manager.tsx:37"
USED,"/api/groups/[id]","GET|PATCH|DELETE","group","",2,"components/contacts/groups-manager.tsx:63; components/contacts/groups-manager.tsx:91"
USED,"/api/org/accounting-calendar","GET|PUT","organization","",2,"app/dashboard/settings/accounting/page.tsx:44; app/dashboard/settings/accounting/page.tsx:61"
USED,"/api/org/settings","GET|PUT","organization","",2,"app/dashboard/settings/page.tsx:28; app/dashboard/settings/page.tsx:44"
USED,"/api/org/team","GET","user","",1,"app/dashboard/jobs/page.tsx:211"
USED,"/api/org/users","GET|POST","user|organization","auth-email",3,"app/dashboard/jobs/[id]/page.tsx:571; app/dashboard/settings/team/page.tsx:173; app/dashboard/settings/team/page.tsx:228"
USED,"/api/org/users/[id]","GET|PATCH|DELETE","user","",2,"app/dashboard/settings/team/page.tsx:275; app/dashboard/settings/team/page.tsx:313"
USED,"/api/quests","GET|POST","taskInstance","quest",1,"components/jobs/send-request-modal.tsx:533"
USED,"/api/quests/[id]/execute","POST","emailDraft","quest|email-draft",1,"components/jobs/send-request-modal.tsx:562"
USED,"/api/requests","GET","request|taskInstance|user|taskInstanceLabel","",1,"app/dashboard/jobs/[id]/page.tsx:392"
USED,"/api/requests/detail/[id]","GET|PATCH","request","",2,"app/dashboard/requests/page.tsx:148; components/jobs/request-card-expandable.tsx:126"
USED,"/api/requests/detail/[id]/messages","GET","request|message","",4,"app/dashboard/requests/page.tsx:331; app/dashboard/requests/page.tsx:385; components/jobs/request-card-expandable.tsx:193; components/jobs/request-card-expandable.tsx:235"
USED,"/api/requests/detail/[id]/reply","POST","request|message","email-sending",2,"components/reply-review/right-pane/reply-section.tsx:73; components/reply-review/right-pane/review-rhs.tsx:160"
USED,"/api/requests/detail/[id]/reply-draft","POST","request","",1,"components/reply-review/right-pane/reply-section.tsx:44"
USED,"/api/review/[messageId]","GET|PATCH","message|reviewAuditLog|aIRecommendation","",3,"components/reply-review/reply-review-layout.tsx:87; components/reply-review/right-pane/review-rhs.tsx:173; components/review/review-header.tsx:89"
USED,"/api/review/analyze","POST","message|aIRecommendation|request","",2,"components/reply-review/right-pane/ai-summary-section.tsx:38; components/reply-review/right-pane/review-rhs.tsx:88"
USED,"/api/review/draft-reply","POST","message|aIRecommendation","",1,"components/reply-review/right-pane/review-rhs.tsx:120"
USED,"/api/task-instances","GET|POST","","task-instance|board",5,"app/dashboard/jobs/page.tsx:179; app/dashboard/jobs/page.tsx:376; app/dashboard/jobs/page.tsx:443; app/dashboard/jobs/page.tsx:505; components/jobs/ai-bulk-upload-modal.tsx:278"
